dataset,manipulation_type,source_path,issue,detail
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/954_976.mp4,ok,frame_count=376
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/352_319.mp4,ok,frame_count=421
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/590_034.mp4,ok,frame_count=407
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/066.mp4,ok,frame_count=435
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/066_062.mp4,ok,frame_count=435
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/572_554.mp4,ok,frame_count=347
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/414.mp4,ok,frame_count=587
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/189.mp4,ok,frame_count=512
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/572.mp4,ok,frame_count=347
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/700_813.mp4,ok,frame_count=333
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/924_917.mp4,ok,frame_count=448
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/138_142.mp4,ok,frame_count=410
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/520.mp4,ok,frame_count=350
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/117.mp4,ok,frame_count=548
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/564_971.mp4,ok,frame_count=354
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/199_181.mp4,ok,frame_count=478
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/726_713.mp4,ok,frame_count=410
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/105.mp4,ok,frame_count=300
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/346_351.mp4,ok,frame_count=615
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/603.mp4,ok,frame_count=296
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/138_142.mp4,ok,frame_count=962
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/157_245.mp4,ok,frame_count=486
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/961_069.mp4,ok,frame_count=323
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/563.mp4,ok,frame_count=390
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/284_263.mp4,ok,frame_count=483
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/616_614.mp4,ok,frame_count=507
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/073_024.mp4,ok,frame_count=703
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/507_418.mp4,ok,frame_count=319
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/164_216.mp4,ok,frame_count=1021
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/620.mp4,ok,frame_count=628
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/858_861.mp4,ok,frame_count=594
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/387_311.mp4,ok,frame_count=528
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/685_613.mp4,ok,frame_count=522
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/484_415.mp4,ok,frame_count=319
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/911_910.mp4,ok,frame_count=329
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/284.mp4,ok,frame_count=483
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/717_684.mp4,ok,frame_count=374
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/785_736.mp4,ok,frame_count=413
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/491_226.mp4,ok,frame_count=328
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/258_246.mp4,ok,frame_count=496
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/661.mp4,ok,frame_count=513
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/104_126.mp4,ok,frame_count=328
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/377_333.mp4,ok,frame_count=398
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/304_300.mp4,ok,frame_count=598
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/410_411.mp4,ok,frame_count=459
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/125_038.mp4,ok,frame_count=305
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/515_519.mp4,ok,frame_count=766
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/881.mp4,ok,frame_count=638
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/164_216.mp4,ok,frame_count=476
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/751_752.mp4,ok,frame_count=331
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/525.mp4,ok,frame_count=517
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/564_971.mp4,ok,frame_count=648
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/391_406.mp4,ok,frame_count=547
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/374.mp4,ok,frame_count=586
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/150_153.mp4,ok,frame_count=456
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/507_418.mp4,ok,frame_count=319
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/284_263.mp4,ok,frame_count=300
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/870_001.mp4,ok,frame_count=460
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/858_861.mp4,ok,frame_count=483
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/439_441.mp4,ok,frame_count=305
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/740_796.mp4,ok,frame_count=348
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/638_640.mp4,ok,frame_count=306
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/132_007.mp4,ok,frame_count=413
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/832_762.mp4,ok,frame_count=416
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/679_665.mp4,ok,frame_count=416
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/394.mp4,ok,frame_count=420
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/779.mp4,ok,frame_count=306
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/757_573.mp4,ok,frame_count=613
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/260_331.mp4,ok,frame_count=302
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/164.mp4,ok,frame_count=1021
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/832_762.mp4,ok,frame_count=416
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/832_762.mp4,ok,frame_count=416
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/120_118.mp4,ok,frame_count=405
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/587_535.mp4,ok,frame_count=667
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/132.mp4,ok,frame_count=413
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/835_651.mp4,ok,frame_count=380
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/141_161.mp4,ok,frame_count=369
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/488_399.mp4,ok,frame_count=518
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/006.mp4,ok,frame_count=310
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/391_406.mp4,ok,frame_count=512
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/929_962.mp4,ok,frame_count=460
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/961.mp4,ok,frame_count=323
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/150_153.mp4,ok,frame_count=456
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/779_794.mp4,ok,frame_count=306
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/575_603.mp4,ok,frame_count=557
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/069.mp4,ok,frame_count=774
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/871_814.mp4,ok,frame_count=348
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/914_899.mp4,ok,frame_count=307
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/909.mp4,ok,frame_count=637
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/359_317.mp4,ok,frame_count=456
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/180_105.mp4,ok,frame_count=300
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/557_560.mp4,ok,frame_count=349
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/687_615.mp4,ok,frame_count=469
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/376_381.mp4,ok,frame_count=515
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/874_291.mp4,ok,frame_count=330
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/006_002.mp4,ok,frame_count=310
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/225_151.mp4,ok,frame_count=347
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/939_115.mp4,ok,frame_count=320
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/338.mp4,ok,frame_count=889
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/410_411.mp4,ok,frame_count=459
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/326_501.mp4,ok,frame_count=914
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/425.mp4,ok,frame_count=336
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/086_090.mp4,ok,frame_count=687
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/587_535.mp4,ok,frame_count=626
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/929_962.mp4,ok,frame_count=460
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/718_972.mp4,ok,frame_count=311
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/202_348.mp4,ok,frame_count=323
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/871_814.mp4,ok,frame_count=348
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/881_856.mp4,ok,frame_count=1103
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/646_643.mp4,ok,frame_count=364
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/522_337.mp4,ok,frame_count=331
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/943_942.mp4,ok,frame_count=470
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/679_665.mp4,ok,frame_count=324
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/073.mp4,ok,frame_count=703
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/149_152.mp4,ok,frame_count=313
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/920_811.mp4,ok,frame_count=542
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/828_830.mp4,ok,frame_count=319
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/104_126.mp4,ok,frame_count=462
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/966_988.mp4,ok,frame_count=455
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/346.mp4,ok,frame_count=615
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/681_711.mp4,ok,frame_count=292
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/589_565.mp4,ok,frame_count=430
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/496_417.mp4,ok,frame_count=1496
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/520_542.mp4,ok,frame_count=320
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/348_202.mp4,ok,frame_count=414
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/736_785.mp4,ok,frame_count=414
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/960_999.mp4,ok,frame_count=335
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/232_248.mp4,ok,frame_count=574
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/584_823.mp4,ok,frame_count=475
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/214.mp4,ok,frame_count=462
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/071_054.mp4,ok,frame_count=453
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/533_450.mp4,ok,frame_count=558
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/957_959.mp4,ok,frame_count=418
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/462_467.mp4,ok,frame_count=585
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/693_698.mp4,ok,frame_count=304
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/522_337.mp4,ok,frame_count=331
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/138.mp4,ok,frame_count=410
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/587_535.mp4,ok,frame_count=626
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/835_651.mp4,ok,frame_count=380
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/966_988.mp4,ok,frame_count=364
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/310_196.mp4,ok,frame_count=375
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/557.mp4,ok,frame_count=509
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/938_987.mp4,ok,frame_count=369
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/752_751.mp4,ok,frame_count=1016
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/435_456.mp4,ok,frame_count=476
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/707.mp4,ok,frame_count=1034
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/813_700.mp4,ok,frame_count=360
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/348_202.mp4,ok,frame_count=323
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/368_378.mp4,ok,frame_count=761
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/792.mp4,ok,frame_count=383
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/644_657.mp4,ok,frame_count=413
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/141.mp4,ok,frame_count=508
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/861.mp4,ok,frame_count=594
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/416_342.mp4,ok,frame_count=313
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/821_812.mp4,ok,frame_count=423
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/348.mp4,ok,frame_count=414
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/632_548.mp4,ok,frame_count=573
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/681_711.mp4,ok,frame_count=840
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/721_715.mp4,ok,frame_count=856
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/929.mp4,ok,frame_count=462
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/462_467.mp4,ok,frame_count=423
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/709_390.mp4,ok,frame_count=809
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/957_959.mp4,ok,frame_count=482
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/087_081.mp4,ok,frame_count=309
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/496_417.mp4,ok,frame_count=861
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/763_930.mp4,ok,frame_count=448
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/468_470.mp4,ok,frame_count=597
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/199_181.mp4,ok,frame_count=368
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/790_014.mp4,ok,frame_count=676
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/103.mp4,ok,frame_count=595
FF++,FaceSwap,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/FaceSwap/c23/videos/939_115.mp4,ok,frame_count=320
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/604.mp4,ok,frame_count=825
